surface,region,path_id,grid_points,mu_MnOH2_min_eV,mu_MnOH2_max_eV,mu_H2O_min_eV,mu_H2O_max_eV,states,mechanisms
011,R040,P30313,5,-1.2,-1.05,-0.2,-0.15,S000 -> S100 -> S101 -> S111 -> S211 -> S212 -> S322 -> S323 -> S423 -> S424 -> S434 -> S534 -> S644,OL -> SR -> C -> OL -> SR -> OX -> SR -> OL -> SR -> C -> OL -> OX
011,R041,P30518,15,-1.6,-1.2,-0.6,-0.3,S000 -> S100 -> S101 -> S111 -> S211 -> S212 -> S322 -> S432 -> S433 -> S434 -> S534 -> S544 -> S644,OL -> SR -> C -> OL -> SR -> OX -> OX -> SR -> SR -> OL -> C -> OL
011,R042,P30522,1,-1.65,-1.65,-0.6,-0.6,S000 -> S100 -> S101 -> S111 -> S211 -> S212 -> S322 -> S432 -> S433 -> S533 -> S534 -> S544 -> S644,OL -> SR -> C -> OL -> SR -> OX -> OX -> SR -> OL -> SR -> C -> OL
011,R043,P31028,29,-1.45,-0.75,-0.8,-0.2,S000 -> S100 -> S101 -> S111 -> S211 -> S221 -> S321 -> S322 -> S432 -> S433 -> S434 -> S534 -> S544 -> S644,OL -> SR -> C -> OL -> C -> OL -> SR -> OX -> SR -> SR -> OL -> C -> OL
011,R044,P31934,23,-1.5,-0.95,-0.9,-0.55,S000 -> S100 -> S101 -> S111 -> S211 -> S321 -> S322 -> S432 -> S433 -> S434 -> S534 -> S544 -> S644,OL -> SR -> C -> OL -> OX -> SR -> OX -> SR -> SR -> OL -> C -> OL
011,R045,P31938,2,-1.6,-1.55,-1,-0.95,S000 -> S100 -> S101 -> S111 -> S211 -> S321 -> S322 -> S432 -> S433 -> S533 -> S534 -> S544 -> S644,OL -> SR -> C -> OL -> OX -> SR -> OX -> SR -> OL -> SR -> C -> OL
011,R046,P31982,28,-2.4,-1.4,-0.6,-0.25,S000 -> S100 -> S101 -> S111 -> S221 -> S222 -> S322 -> S323 -> S423 -> S424 -> S434 -> S534 -> S544 -> S644,OL -> SR -> C -> OX -> SR -> OL -> SR -> OL -> SR -> C -> OL -> C -> OL
011,R047,P31984,13,-1.4,-1.05,-0.2,0,S000 -> S100 -> S101 -> S111 -> S221 -> S222 -> S322 -> S323 -> S423 -> S424 -> S434 -> S534 -> S644,OL -> SR -> C -> OX -> SR -> OL -> SR -> OL -> SR -> C -> OL -> OX
011,R048,P32104,50,-4,-1.55,0,0,S000 -> S100 -> S101 -> S111 -> S221 -> S222 -> S322 -> S422 -> S432 -> S433 -> S533 -> S534 -> S544 -> S644,OL -> SR -> C -> OX -> SR -> OL -> OL -> C -> SR -> OL -> SR -> C -> OL
011,R049,P32106,10,-1.5,-1.1,-0.05,0,S000 -> S100 -> S101 -> S111 -> S221 -> S222 -> S322 -> S422 -> S432 -> S433 -> S533 -> S534 -> S644,OL -> SR -> C -> OX -> SR -> OL -> OL -> C -> SR -> OL -> SR -> OX
011,R050,P32193,588,-4,-1.45,-0.7,-0.05,S000 -> S100 -> S101 -> S111 -> S221 -> S222 -> S322 -> S432 -> S433 -> S533 -> S534 -> S544 -> S644,OL -> SR -> C -> OX -> SR -> OL -> OX -> SR -> OL -> SR -> C -> OL
011,R051,P32195,17,-1.5,-1.2,-0.15,-0.05,S000 -> S100 -> S101 -> S111 -> S221 -> S222 -> S322 -> S432 -> S433 -> S533 -> S534 -> S644,OL -> SR -> C -> OX -> SR -> OL -> OX -> SR -> OL -> SR -> OX
