sequence_id,sequence,state_path
68,OXOXCCO,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 0, 2) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
69,OXOXCOC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 0, 2) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
70,OXOXOCC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 0, 2) -> S(3, 0, 2) -> S(3, 1, 2) -> S(3, 2, 2)
71,OXXCOCO,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(1, 0, 2) -> S(1, 1, 2) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
72,OXXCOOC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(1, 0, 2) -> S(1, 1, 2) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
73,OXXOCCO,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(1, 0, 2) -> S(2, 0, 2) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
74,OXXOCOC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(1, 0, 2) -> S(2, 0, 2) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
75,OXXOOCC,S(0, 0, 0) -> S(1, 0, 0) -> S(1, 0, 1) -> S(1, 0, 2) -> S(2, 0, 2) -> S(3, 0, 2) -> S(3, 1, 2) -> S(3, 2, 2)
76,XOCOCOX,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(1, 1, 1) -> S(2, 1, 1) -> S(2, 2, 1) -> S(3, 2, 1) -> S(3, 2, 2)
77,XOCOCXO,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(1, 1, 1) -> S(2, 1, 1) -> S(2, 2, 1) -> S(2, 2, 2) -> S(3, 2, 2)
78,XOCOOCX,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(1, 1, 1) -> S(2, 1, 1) -> S(3, 1, 1) -> S(3, 2, 1) -> S(3, 2, 2)
79,XOCOOXC,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(1, 1, 1) -> S(2, 1, 1) -> S(3, 1, 1) -> S(3, 1, 2) -> S(3, 2, 2)
80,XOCOXCO,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(1, 1, 1) -> S(2, 1, 1) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
81,XOCOXOC,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(1, 1, 1) -> S(2, 1, 1) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
82,XOCXOCO,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(1, 1, 1) -> S(1, 1, 2) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
83,XOCXOOC,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(1, 1, 1) -> S(1, 1, 2) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
84,XOOCCOX,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 1, 1) -> S(2, 2, 1) -> S(3, 2, 1) -> S(3, 2, 2)
85,XOOCCXO,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 1, 1) -> S(2, 2, 1) -> S(2, 2, 2) -> S(3, 2, 2)
86,XOOCOCX,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 1, 1) -> S(3, 1, 1) -> S(3, 2, 1) -> S(3, 2, 2)
87,XOOCOXC,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 1, 1) -> S(3, 1, 1) -> S(3, 1, 2) -> S(3, 2, 2)
88,XOOCXCO,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 1, 1) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
89,XOOCXOC,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 1, 1) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
90,XOOOCCX,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(2, 0, 1) -> S(3, 0, 1) -> S(3, 1, 1) -> S(3, 2, 1) -> S(3, 2, 2)
91,XOOOCXC,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(2, 0, 1) -> S(3, 0, 1) -> S(3, 1, 1) -> S(3, 1, 2) -> S(3, 2, 2)
92,XOOOXCC,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(2, 0, 1) -> S(3, 0, 1) -> S(3, 0, 2) -> S(3, 1, 2) -> S(3, 2, 2)
93,XOOXCCO,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 0, 2) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
94,XOOXCOC,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 0, 2) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
95,XOOXOCC,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(2, 0, 1) -> S(2, 0, 2) -> S(3, 0, 2) -> S(3, 1, 2) -> S(3, 2, 2)
96,XOXCOCO,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(1, 0, 2) -> S(1, 1, 2) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
97,XOXCOOC,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(1, 0, 2) -> S(1, 1, 2) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
98,XOXOCCO,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(1, 0, 2) -> S(2, 0, 2) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
99,XOXOCOC,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(1, 0, 2) -> S(2, 0, 2) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
100,XOXOOCC,S(0, 0, 0) -> S(0, 0, 1) -> S(1, 0, 1) -> S(1, 0, 2) -> S(2, 0, 2) -> S(3, 0, 2) -> S(3, 1, 2) -> S(3, 2, 2)
101,XXOCOCO,S(0, 0, 0) -> S(0, 0, 1) -> S(0, 0, 2) -> S(1, 0, 2) -> S(1, 1, 2) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
102,XXOCOOC,S(0, 0, 0) -> S(0, 0, 1) -> S(0, 0, 2) -> S(1, 0, 2) -> S(1, 1, 2) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
103,XXOOCCO,S(0, 0, 0) -> S(0, 0, 1) -> S(0, 0, 2) -> S(1, 0, 2) -> S(2, 0, 2) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
104,XXOOCOC,S(0, 0, 0) -> S(0, 0, 1) -> S(0, 0, 2) -> S(1, 0, 2) -> S(2, 0, 2) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
105,XXOOOCC,S(0, 0, 0) -> S(0, 0, 1) -> S(0, 0, 2) -> S(1, 0, 2) -> S(2, 0, 2) -> S(3, 0, 2) -> S(3, 1, 2) -> S(3, 2, 2)
